id,userID,courseID,pageNumber,consultationDate
0,0,5000,0,2022-03-29 16:15:17.718397
1,0,5000,1,2022-03-29 16:15:17.718432
2,0,5000,2,2022-03-29 16:15:17.718444
3,0,5000,3,2022-03-29 16:15:17.718453
4,0,5000,4,2022-03-29 16:15:17.718461
5,0,5000,5,2022-03-29 16:15:17.718470
6,0,5000,6,2022-03-29 16:15:17.718478
7,0,5000,7,2022-03-29 16:15:17.718486
8,0,5000,8,2022-03-29 16:15:17.718495
9,0,5000,9,2022-03-29 16:15:17.718503
10,0,5000,10,2022-03-29 16:15:17.718512
11,0,5000,11,2022-03-29 16:15:17.718520
12,0,5000,12,2022-03-29 16:15:17.718528
13,0,5000,13,2022-03-29 16:15:17.718537
14,0,5000,14,2022-03-29 16:15:17.718545
15,0,5000,15,2022-03-29 16:15:17.718556
16,0,5000,16,2022-03-29 16:15:17.718565
17,0,5000,17,2022-03-29 16:15:17.718573
18,0,5000,18,2022-03-29 16:15:17.718582
19,0,1005,0,2022-03-29 16:15:17.718596
20,0,1005,1,2022-03-29 16:15:17.718606
21,0,1005,2,2022-03-29 16:15:17.718614
22,0,1005,3,2022-03-29 16:15:17.718623
23,0,1005,4,2022-03-29 16:15:17.718631
24,0,1005,5,2022-03-29 16:15:17.718639
25,0,1005,6,2022-03-29 16:15:17.718647
26,0,1005,7,2022-03-29 16:15:17.718656
27,0,1005,8,2022-03-29 16:15:17.718665
28,0,1005,9,2022-03-29 16:15:17.718681
29,0,1005,10,2022-03-29 16:15:17.718696
30,0,1005,11,2022-03-29 16:15:17.718711
31,0,1005,12,2022-03-29 16:15:17.718724
32,0,1005,13,2022-03-29 16:15:17.718733
33,0,1005,14,2022-03-29 16:15:17.718742
34,0,1005,15,2022-03-29 16:15:17.718751
35,0,1005,16,2022-03-29 16:15:17.718759
36,0,1005,17,2022-03-29 16:15:17.718767
37,0,1005,18,2022-03-29 16:15:17.718775
38,0,1005,19,2022-03-29 16:15:17.718784
39,0,1005,20,2022-03-29 16:15:17.718792
40,0,1005,21,2022-03-29 16:15:17.718800
41,0,1005,22,2022-03-29 16:15:17.718808
42,0,1005,23,2022-03-29 16:15:17.718816
43,0,1005,24,2022-03-29 16:15:17.718824
44,0,1005,25,2022-03-29 16:15:17.718832
45,0,1005,26,2022-03-29 16:15:17.718840
46,0,1007,0,2022-03-29 16:15:17.718851
47,0,1007,1,2022-03-29 16:15:17.718860
48,0,1007,2,2022-03-29 16:15:17.718869
49,0,1007,3,2022-03-29 16:15:17.718878
50,0,1007,4,2022-03-29 16:15:17.718893
51,0,1007,5,2022-03-29 16:15:17.718908
52,0,1007,6,2022-03-29 16:15:17.718924
53,0,1007,7,2022-03-29 16:15:17.718938
54,0,1007,8,2022-03-29 16:15:17.718950
55,0,1007,9,2022-03-29 16:15:17.718959
56,0,1007,10,2022-03-29 16:15:17.718967
57,0,1007,11,2022-03-29 16:15:17.718979
58,0,1007,12,2022-03-29 16:15:17.718988
59,0,1007,13,2022-03-29 16:15:17.718996
60,0,1007,14,2022-03-29 16:15:17.719005
61,0,1007,15,2022-03-29 16:15:17.719013
62,0,1007,16,2022-03-29 16:15:17.719021
63,0,1007,17,2022-03-29 16:15:17.719029
64,0,1007,18,2022-03-29 16:15:17.719039
65,0,1007,19,2022-03-29 16:15:17.719047
66,0,1007,20,2022-03-29 16:15:17.719055
67,0,1007,21,2022-03-29 16:15:17.719064
68,0,1007,22,2022-03-29 16:15:17.719072
69,0,1007,23,2022-03-29 16:15:17.719080
70,0,1007,24,2022-03-29 16:15:17.719088
71,0,1007,25,2022-03-29 16:15:17.719097
72,0,1007,26,2022-03-29 16:15:17.719105
73,0,1007,27,2022-03-29 16:15:17.719113
74,0,1007,28,2022-03-29 16:15:17.719121
75,0,1007,29,2022-03-29 16:15:17.719130
76,0,1009,0,2022-03-29 16:15:17.719140
77,0,1009,1,2022-03-29 16:15:17.719150
78,0,1009,2,2022-03-29 16:15:17.719158
79,0,1009,3,2022-03-29 16:15:17.719167
80,0,1009,4,2022-03-29 16:15:17.719175
81,0,1009,5,2022-03-29 16:15:17.719183
82,0,1009,6,2022-03-29 16:15:17.719192
83,0,1009,7,2022-03-29 16:15:17.719200
84,0,1009,8,2022-03-29 16:15:17.719208
85,0,1009,9,2022-03-29 16:15:17.719217
86,0,1009,10,2022-03-29 16:15:17.719225
87,0,1009,11,2022-03-29 16:15:17.719233
88,0,1009,12,2022-03-29 16:15:17.719242
89,0,1009,13,2022-03-29 16:15:17.719251
90,0,1009,14,2022-03-29 16:15:17.719259
91,0,1009,15,2022-03-29 16:15:17.719267
92,0,1009,16,2022-03-29 16:15:17.719276
93,0,1009,17,2022-03-29 16:15:17.719285
94,0,2001,0,2022-03-29 16:15:17.719295
95,0,2001,1,2022-03-29 16:15:17.719304
96,0,2001,2,2022-03-29 16:15:17.719313
97,0,2001,3,2022-03-29 16:15:17.719322
98,0,2001,4,2022-03-29 16:15:17.719330
99,0,2001,5,2022-03-29 16:15:17.719341
100,0,2001,6,2022-03-29 16:15:17.719350
101,0,2001,7,2022-03-29 16:15:17.719358
102,0,2001,8,2022-03-29 16:15:17.719367
103,0,2001,9,2022-03-29 16:15:17.719375
104,0,2001,10,2022-03-29 16:15:17.719383
105,0,2003,0,2022-03-29 16:15:17.719393
106,0,2003,1,2022-03-29 16:15:17.719402
107,0,2003,2,2022-03-29 16:15:17.719410
108,0,2003,3,2022-03-29 16:15:17.719420
109,0,2003,4,2022-03-29 16:15:17.719428
110,0,2003,5,2022-03-29 16:15:17.719437
111,0,2003,6,2022-03-29 16:15:17.719445
112,0,2003,7,2022-03-29 16:15:17.719453
113,0,2003,8,2022-03-29 16:15:17.719462
114,0,2003,9,2022-03-29 16:15:17.719470
115,0,2003,10,2022-03-29 16:15:17.719478
116,0,2003,11,2022-03-29 16:15:17.719486
117,0,2003,12,2022-03-29 16:15:17.719495
118,0,2003,13,2022-03-29 16:15:17.719503
119,0,2003,14,2022-03-29 16:15:17.719511
120,0,2003,15,2022-03-29 16:15:17.719519
121,0,2003,16,2022-03-29 16:15:17.719528
122,0,2003,17,2022-03-29 16:15:17.719536
123,0,2003,18,2022-03-29 16:15:17.719544
124,0,2003,19,2022-03-29 16:15:17.719552
125,0,2003,20,2022-03-29 16:15:17.719560
126,0,2003,21,2022-03-29 16:15:17.719568
127,1,7000,0,2022-03-29 16:15:17.719591
128,1,7000,1,2022-03-29 16:15:17.719601
129,1,7000,2,2022-03-29 16:15:17.719610
130,1,7000,3,2022-03-29 16:15:17.719618
131,1,7000,4,2022-03-29 16:15:17.719627
132,1,7000,5,2022-03-29 16:15:17.719635
133,1,7000,6,2022-03-29 16:15:17.719643
134,1,7000,7,2022-03-29 16:15:17.719652
135,1,7000,8,2022-03-29 16:15:17.719660
136,1,7000,9,2022-03-29 16:15:17.719668
137,1,7000,10,2022-03-29 16:15:17.719676
138,1,7000,11,2022-03-29 16:15:17.719685
139,1,7000,12,2022-03-29 16:15:17.719693
140,1,1007,0,2022-03-29 16:15:17.719706
141,1,1007,1,2022-03-29 16:15:17.719718
142,1,1007,2,2022-03-29 16:15:17.719727
